concept_id,activation_rate,mean_abs,energy_share
2609,0.0038371705,0.0016167007,6.0989474e-05
2827,0.03570237,0.0016118349,6.0805913e-05
3561,0.03003003,0.0016095485,6.071966e-05
2608,0.014848182,0.0015922928,6.0068694e-05
731,0.0068401736,0.0015573588,5.8750822e-05
183,0.0055055055,0.0015262672,5.75779e-05
918,0.015515516,0.0015140526,5.711711e-05
871,0.013013013,0.0015012708,5.6634923e-05
3473,0.010343677,0.0015008599,5.6619418e-05
3041,0.013847181,0.0014826014,5.5930625e-05
2094,0.010176844,0.0014708852,5.5488636e-05
3158,0.004671338,0.0013985971,5.2761592e-05
2641,0.010844178,0.0013823102,5.2147174e-05
3201,0.01001001,0.0013702717,5.1693023e-05
2369,0.032699365,0.0013588067,5.1260515e-05
3028,0.014014014,0.00129016,4.867084e-05
3465,0.010510511,0.0012591075,4.7499394e-05
2527,0.003670337,0.0012301983,4.6408804e-05
3700,0.019352686,0.0012206475,4.6048503e-05
1494,0.014180847,0.0011964518,4.513573e-05
3886,0.008842176,0.0011882974,4.482811e-05
1304,0.0038371705,0.0011825409,4.4610948e-05
2380,0.00667334,0.0011621625,4.3842178e-05
1768,0.0041708373,0.0011548203,4.3565196e-05
2145,0.015348682,0.0011500042,4.3383512e-05
3701,0.0038371705,0.0011382262,4.293919e-05
1957,0.0065065064,0.0010936853,4.12589e-05
3779,0.006339673,0.0010801532,4.0748404e-05
247,0.009676343,0.0010638285,4.013256e-05
1294,0.022022022,0.0010470989,3.9501443e-05
1041,0.004337671,0.0010463778,3.9474242e-05
624,0.023189856,0.0010433261,3.9359118e-05
1605,0.011011011,0.0010152515,3.830001e-05
1694,0.020854188,0.0010142212,3.8261143e-05
1857,0.0075075077,0.0009686929,3.6543603e-05
3077,0.002335669,0.00096289406,3.6324844e-05
285,0.007007007,0.00095156225,3.5897356e-05
1828,0.008341675,0.00094349193,3.5592908e-05
2019,0.007007007,0.00093299703,3.519699e-05
3363,0.005338672,0.0009292103,3.5054138e-05
3163,0.0021688356,0.0009262907,3.4943998e-05
3539,0.007674341,0.00090965885,3.4316567e-05
3552,0.0031698365,0.00088126585,3.324545e-05
1220,0.0045045046,0.000879972,3.319664e-05
3961,0.0065065064,0.0008792949,3.3171094e-05
2042,0.01001001,0.0008788851,3.3155637e-05
3008,0.019185852,0.0008702985,3.2831707e-05
1801,0.0038371705,0.0008670156,3.2707863e-05
2684,0.005005005,0.0008668537,3.2701755e-05
2074,0.004337671,0.0008529522,3.2177326e-05
385,0.007340674,0.00084038434,3.170321e-05
3157,0.011177844,0.0008209056,3.0968382e-05
462,0.009009009,0.0008186762,3.0884275e-05
4,0.0078411745,0.0008077631,3.0472582e-05
3104,0.0038371705,0.00080258405,3.0277206e-05
104,0.016016016,0.00079780945,3.0097086e-05
3880,0.0078411745,0.0007946804,2.9979043e-05
2725,0.0015015015,0.0007874348,2.9705705e-05
1604,0.003003003,0.00076706,2.8937073e-05
2282,0.013680347,0.00076511997,2.8863886e-05
3586,0.014014014,0.00074647996,2.8160699e-05
196,0.0021688356,0.0007444409,2.8083774e-05
1156,0.009342676,0.0007405336,2.7936374e-05
1924,0.0025025024,0.00073027436,2.7549348e-05
1167,0.0041708373,0.0007182137,2.7094362e-05
1211,0.0058391723,0.0007112408,2.6831314e-05
3525,0.0021688356,0.0007108176,2.6815347e-05
3144,0.010176844,0.00070927746,2.6757247e-05
3332,0.006339673,0.00068101485,2.569105e-05
2654,0.005005005,0.0006698106,2.5268371e-05
769,0.0041708373,0.00066819385,2.5207382e-05
1869,0.012012012,0.00065824745,2.4832158e-05
2391,0.0071738404,0.0006572211,2.479344e-05
1103,0.015515516,0.0006550354,2.4710982e-05
1793,0.0021688356,0.0006522686,2.4606607e-05
3056,0.0045045046,0.0006511084,2.4562838e-05
1813,0.0031698365,0.00064797315,2.4444564e-05
