image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
15,AnnualCrop_1011.jpg,patch88,5,25790,0.9026,40545,0.8261,False,,
16,AnnualCrop_1012.jpg,global,1,38459,20.9854,2099,21.9226,False,2,2
16,AnnualCrop_1012.jpg,global,2,2099,20.8586,38459,21.7489,False,1,1
16,AnnualCrop_1012.jpg,global,3,4594,15.611,4594,16.2051,True,3,3
16,AnnualCrop_1012.jpg,global,4,41801,12.4928,41801,13.9778,True,4,4
16,AnnualCrop_1012.jpg,global,5,33331,9.018,33331,8.981,True,5,5
16,AnnualCrop_1012.jpg,patch88,1,25790,1.0795,38515,1.5953,False,3,2
16,AnnualCrop_1012.jpg,patch88,2,38515,0.9955,13248,1.4698,False,1,
16,AnnualCrop_1012.jpg,patch88,3,27607,0.7246,25790,1.3176,False,,1
16,AnnualCrop_1012.jpg,patch88,4,29095,0.6704,8557,1.2754,False,,
16,AnnualCrop_1012.jpg,patch88,5,34321,0.5889,30814,0.9672,False,,
17,AnnualCrop_1013.jpg,global,1,38459,20.2417,38459,20.9639,True,1,1
17,AnnualCrop_1013.jpg,global,2,2099,20.171,2099,20.8641,True,2,2
17,AnnualCrop_1013.jpg,global,3,4594,15.0286,4594,15.0415,True,3,3
17,AnnualCrop_1013.jpg,global,4,41801,12.1832,41801,12.6047,True,4,4
17,AnnualCrop_1013.jpg,global,5,33331,8.5799,33331,8.6958,True,5,5
17,AnnualCrop_1013.jpg,patch88,1,38515,1.1647,38515,1.2114,True,1,1
17,AnnualCrop_1013.jpg,patch88,2,25790,0.9919,25790,1.0706,True,2,2
17,AnnualCrop_1013.jpg,patch88,3,40669,0.6947,40545,0.9377,False,,
17,AnnualCrop_1013.jpg,patch88,4,36131,0.6563,34321,0.853,False,,
17,AnnualCrop_1013.jpg,patch88,5,15358,0.6547,19999,0.7561,False,,
18,AnnualCrop_1014.jpg,global,1,38459,19.6141,2099,20.431,False,2,2
18,AnnualCrop_1014.jpg,global,2,2099,19.3144,38459,20.4062,False,1,1
18,AnnualCrop_1014.jpg,global,3,4594,14.4005,4594,14.9697,True,3,3
18,AnnualCrop_1014.jpg,global,4,41801,11.3119,41801,12.5999,True,4,4
18,AnnualCrop_1014.jpg,global,5,33331,8.3821,33331,8.3122,True,5,5
18,AnnualCrop_1014.jpg,patch88,1,45147,2.869,38515,1.3171,False,,
18,AnnualCrop_1014.jpg,patch88,2,20937,1.1367,39090,1.0783,False,,
18,AnnualCrop_1014.jpg,patch88,3,38207,1.0252,19999,1.0129,False,,
18,AnnualCrop_1014.jpg,patch88,4,40593,0.8927,32699,0.9221,False,,
18,AnnualCrop_1014.jpg,patch88,5,40547,0.8338,42949,0.8636,False,,
19,AnnualCrop_1015.jpg,global,1,2099,21.5603,2099,20.9939,True,1,1
19,AnnualCrop_1015.jpg,global,2,38459,21.1371,38459,20.7621,True,2,2
19,AnnualCrop_1015.jpg,global,3,4594,16.951,4594,16.1966,True,3,3
19,AnnualCrop_1015.jpg,global,4,41801,13.8689,41801,13.575,True,4,4
19,AnnualCrop_1015.jpg,global,5,33331,8.8591,33331,8.3289,True,5,5
19,AnnualCrop_1015.jpg,patch88,1,1215,1.2985,38515,1.6732,False,,2
19,AnnualCrop_1015.jpg,patch88,2,38515,1.2592,34321,1.2062,False,1,4
19,AnnualCrop_1015.jpg,patch88,3,25790,1.0624,25790,1.2049,True,3,3
19,AnnualCrop_1015.jpg,patch88,4,34321,0.877,19999,1.1218,False,2,
19,AnnualCrop_1015.jpg,patch88,5,29095,0.8178,40545,1.1098,False,,
20,AnnualCrop_1016.jpg,global,1,38459,19.0167,38459,18.5851,True,1,1
20,AnnualCrop_1016.jpg,global,2,2099,18.5686,2099,18.0296,True,2,2
20,AnnualCrop_1016.jpg,global,3,4594,13.8027,4594,13.121,True,3,3
20,AnnualCrop_1016.jpg,global,4,41801,10.2923,41801,10.0955,True,4,4
20,AnnualCrop_1016.jpg,global,5,33331,7.8294,33331,7.3815,True,5,5
20,AnnualCrop_1016.jpg,patch88,1,43358,1.5614,13386,2.1269,False,3,
20,AnnualCrop_1016.jpg,patch88,2,38515,1.0544,38515,1.7524,True,2,2
20,AnnualCrop_1016.jpg,patch88,3,27607,1.046,43358,1.6457,False,,1
20,AnnualCrop_1016.jpg,patch88,4,25790,1.0398,34321,1.3442,False,5,5
20,AnnualCrop_1016.jpg,patch88,5,34321,1.0396,25790,1.1921,False,4,4
21,AnnualCrop_1017.jpg,global,1,38459,17.4065,38459,18.9756,True,1,1
21,AnnualCrop_1017.jpg,global,2,2099,16.6307,2099,18.5106,True,2,2
21,AnnualCrop_1017.jpg,global,3,4594,12.576,4594,13.9934,True,3,3
21,AnnualCrop_1017.jpg,global,4,41801,8.7593,41801,10.734,True,4,4
21,AnnualCrop_1017.jpg,global,5,133,7.5181,133,7.5582,True,5,5
21,AnnualCrop_1017.jpg,patch88,1,38515,1.2145,38515,1.6871,True,1,1
21,AnnualCrop_1017.jpg,patch88,2,5064,0.9855,25790,1.2953,False,,3
21,AnnualCrop_1017.jpg,patch88,3,25790,0.9514,40545,1.0997,False,2,5
21,AnnualCrop_1017.jpg,patch88,4,34321,0.8301,34321,1.0929,True,4,4
21,AnnualCrop_1017.jpg,patch88,5,40545,0.7355,29095,1.0376,False,3,
