image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
23,img_000023_label8,global,1,2099,21.8597,2099,23.3604,True,1,1
23,img_000023_label8,global,2,38459,21.5719,38459,23.0049,True,2,2
23,img_000023_label8,global,3,4594,16.3218,4594,17.5484,True,3,3
23,img_000023_label8,global,4,41801,14.0931,41801,15.4252,True,4,4
23,img_000023_label8,global,5,33331,9.4165,33331,10.04,True,5,5
23,img_000023_label8,patch88,1,38515,1.1078,38515,1.308,True,1,1
23,img_000023_label8,patch88,2,30053,0.7981,34321,1.015,False,,
23,img_000023_label8,patch88,3,42949,0.7622,25790,0.9752,False,,
23,img_000023_label8,patch88,4,36126,0.7054,21031,0.6906,False,,
23,img_000023_label8,patch88,5,37677,0.7017,34605,0.6824,False,,
24,img_000024_label8,global,1,38459,19.8373,2099,21.7628,False,2,2
24,img_000024_label8,global,2,2099,19.8163,38459,21.656,False,1,1
24,img_000024_label8,global,3,4594,14.4549,4594,16.2013,True,3,3
24,img_000024_label8,global,4,41801,11.4928,41801,13.4096,True,4,4
24,img_000024_label8,global,5,33331,8.145,33331,8.9494,True,5,5
24,img_000024_label8,patch88,1,38515,1.4749,38515,1.6356,True,1,1
24,img_000024_label8,patch88,2,34321,1.0537,34321,1.0748,True,2,2
24,img_000024_label8,patch88,3,25790,0.7339,25790,0.8174,True,3,3
24,img_000024_label8,patch88,4,6482,0.6904,34491,0.7541,False,,
24,img_000024_label8,patch88,5,25702,0.6638,34605,0.6824,False,,
25,img_000025_label0,global,1,2099,20.4691,2099,20.574,True,1,1
25,img_000025_label0,global,2,38459,20.4583,38459,20.5171,True,2,2
25,img_000025_label0,global,3,4594,16.0547,4594,15.9902,True,3,3
25,img_000025_label0,global,4,41801,12.017,41801,12.1608,True,4,4
25,img_000025_label0,global,5,33331,8.6493,33331,8.5649,True,5,5
25,img_000025_label0,patch88,1,43580,4.3009,9889,1.4169,False,,
25,img_000025_label0,patch88,2,21671,1.6242,21671,1.1183,True,2,2
25,img_000025_label0,patch88,3,48318,1.5923,38515,1.0549,False,,4
25,img_000025_label0,patch88,4,38515,0.9741,29095,0.8,False,3,
25,img_000025_label0,patch88,5,25790,0.7743,34825,0.7917,False,,
26,img_000026_label1,global,1,38459,17.428,38459,18.2076,True,1,1
26,img_000026_label1,global,2,2099,17.3381,2099,18.1265,True,2,2
26,img_000026_label1,global,3,4594,13.6418,4594,13.9108,True,3,3
26,img_000026_label1,global,4,41801,9.0959,41801,9.8922,True,4,4
26,img_000026_label1,global,5,133,7.4804,133,7.6015,True,5,5
26,img_000026_label1,patch88,1,38515,1.3127,38515,1.0743,True,1,1
26,img_000026_label1,patch88,2,34321,1.0535,34321,1.0207,True,2,2
26,img_000026_label1,patch88,3,25790,0.7984,25790,0.9933,True,3,3
26,img_000026_label1,patch88,4,6365,0.7062,46187,0.9484,False,,
26,img_000026_label1,patch88,5,34491,0.639,42219,0.7315,False,,
27,img_000027_label6,global,1,38459,19.4149,38459,20.2068,True,1,1
27,img_000027_label6,global,2,2099,19.3529,2099,19.7853,True,2,2
27,img_000027_label6,global,3,4594,14.2595,4594,14.2404,True,3,3
27,img_000027_label6,global,4,41801,11.5242,41801,11.5545,True,4,4
27,img_000027_label6,global,5,33331,8.1297,33331,8.5436,True,5,5
27,img_000027_label6,patch88,1,38515,1.1296,38515,1.5357,True,1,1
27,img_000027_label6,patch88,2,38168,0.9017,34321,0.8136,False,,
27,img_000027_label6,patch88,3,378,0.8607,34605,0.8061,False,,
27,img_000027_label6,patch88,4,25790,0.807,25790,0.7844,True,4,4
27,img_000027_label6,patch88,5,16136,0.8045,34491,0.7812,False,,
28,img_000028_label6,global,1,38459,18.4639,38459,19.0537,True,1,1
28,img_000028_label6,global,2,2099,17.9009,2099,18.6125,True,2,2
28,img_000028_label6,global,3,4594,12.8211,4594,13.1857,True,3,3
28,img_000028_label6,global,4,41801,9.6644,41801,10.6863,True,4,4
28,img_000028_label6,global,5,33331,7.9639,33331,8.1795,True,5,5
28,img_000028_label6,patch88,1,38515,0.8212,38515,1.7121,True,1,1
28,img_000028_label6,patch88,2,20173,0.6879,21031,0.8966,False,,
28,img_000028_label6,patch88,3,25790,0.6671,34321,0.8755,False,,5
28,img_000028_label6,patch88,4,14809,0.59,34605,0.8582,False,,
28,img_000028_label6,patch88,5,34321,0.545,36403,0.7782,False,3,
29,img_000029_label0,global,1,38459,18.461,38459,19.3261,True,1,1
29,img_000029_label0,global,2,2099,18.051,2099,19.1488,True,2,2
29,img_000029_label0,global,3,4594,13.6763,4594,14.4697,True,3,3
29,img_000029_label0,global,4,41801,9.6029,41801,10.6136,True,4,4
29,img_000029_label0,global,5,133,7.8342,33331,8.1044,False,,
29,img_000029_label0,patch88,1,38515,0.9366,13987,1.6277,False,3,
29,img_000029_label0,patch88,2,27620,0.8164,33047,1.3239,False,,
29,img_000029_label0,patch88,3,34321,0.6934,38515,1.2577,False,4,1
29,img_000029_label0,patch88,4,14809,0.6575,34321,1.0301,False,,3
29,img_000029_label0,patch88,5,32567,0.5967,12224,0.972,False,,
30,img_000030_label0,global,1,2099,19.7036,2099,20.5205,True,1,1
30,img_000030_label0,global,2,38459,19.6116,38459,20.4306,True,2,2
30,img_000030_label0,global,3,4594,15.7192,4594,16.0996,True,3,3
30,img_000030_label0,global,4,41801,11.2632,41801,11.9491,True,4,4
30,img_000030_label0,global,5,33331,8.0165,33331,8.3187,True,5,5
30,img_000030_label0,patch88,1,133,7.3051,39589,6.6538,False,3,4
30,img_000030_label0,patch88,2,15485,6.8725,15485,5.8168,True,2,2
30,img_000030_label0,patch88,3,3874,6.4755,133,5.4496,False,5,1
30,img_000030_label0,patch88,4,39589,6.445,8403,4.6945,False,1,
30,img_000030_label0,patch88,5,38459,5.3078,3874,4.5806,False,,3
31,img_000031_label8,global,1,38459,20.0294,38459,21.7217,True,1,1
31,img_000031_label8,global,2,2099,19.9815,2099,21.6873,True,2,2
31,img_000031_label8,global,3,4594,14.7538,4594,16.0589,True,3,3
31,img_000031_label8,global,4,41801,11.4973,41801,13.184,True,4,4
31,img_000031_label8,global,5,33331,8.5459,33331,9.4912,True,5,5
31,img_000031_label8,patch88,1,38515,1.1822,38515,1.7167,True,1,1
31,img_000031_label8,patch88,2,25790,1.0571,25790,1.3508,True,2,2
31,img_000031_label8,patch88,3,16439,0.9836,16439,1.2458,True,3,3
31,img_000031_label8,patch88,4,27607,0.8335,34321,0.8321,False,,
31,img_000031_label8,patch88,5,45159,0.8219,3290,0.8029,False,,
32,img_000032_label0,global,1,2099,19.9153,2099,20.1545,True,1,1
32,img_000032_label0,global,2,38459,19.6836,38459,19.9405,True,2,2
32,img_000032_label0,global,3,4594,16.0543,4594,16.1357,True,3,3
32,img_000032_label0,global,4,41801,11.6675,41801,11.9013,True,4,4
32,img_000032_label0,global,5,133,8.0736,33331,8.072,False,,
32,img_000032_label0,patch88,1,25790,1.7937,25790,1.9295,True,1,1
32,img_000032_label0,patch88,2,15358,1.7492,16439,0.9599,False,,5
32,img_000032_label0,patch88,3,16770,1.0348,42219,0.9406,False,,
32,img_000032_label0,patch88,4,27607,0.7861,38515,0.8711,False,5,
32,img_000032_label0,patch88,5,16439,0.6447,27607,0.7288,False,2,4
33,img_000033_label0,global,1,38459,18.7721,38459,19.6662,True,1,1
33,img_000033_label0,global,2,2099,18.4905,2099,19.5166,True,2,2
33,img_000033_label0,global,3,4594,14.2262,4594,14.9309,True,3,3
33,img_000033_label0,global,4,41801,10.0044,41801,11.0384,True,4,4
33,img_000033_label0,global,5,33331,7.8258,33331,8.3179,True,5,5
33,img_000033_label0,patch88,1,25790,1.2248,25790,1.093,True,1,1
33,img_000033_label0,patch88,2,38515,0.9845,38515,1.0522,True,2,2
33,img_000033_label0,patch88,3,29095,0.6908,21031,0.9563,False,,
33,img_000033_label0,patch88,4,34321,0.6162,34321,0.8275,True,4,4
33,img_000033_label0,patch88,5,33093,0.5665,31966,0.5768,False,,
34,img_000034_label1,global,1,2099,20.0607,2099,21.0791,True,1,1
34,img_000034_label1,global,2,38459,19.762,38459,20.4979,True,2,2
34,img_000034_label1,global,3,4594,16.0328,4594,16.695,True,3,3
34,img_000034_label1,global,4,41801,11.7388,41801,12.4798,True,4,4
34,img_000034_label1,global,5,133,8.0425,33331,8.2274,False,,
34,img_000034_label1,patch88,1,25790,1.081,25790,1.4064,True,1,1
34,img_000034_label1,patch88,2,38515,0.872,38515,1.0607,True,2,2
34,img_000034_label1,patch88,3,16439,0.7927,34321,0.8376,False,5,
34,img_000034_label1,patch88,4,14809,0.6818,21325,0.7853,False,,
34,img_000034_label1,patch88,5,27607,0.6727,16439,0.673,False,,3
35,img_000035_label7,global,1,2099,20.1767,2099,22.9117,True,1,1
35,img_000035_label7,global,2,38459,19.9759,38459,22.042,True,2,2
35,img_000035_label7,global,3,4594,15.6681,4594,18.3407,True,3,3
35,img_000035_label7,global,4,41801,11.9698,41801,14.9152,True,4,4
35,img_000035_label7,global,5,33331,8.3094,33331,9.0063,True,5,5
35,img_000035_label7,patch88,1,38515,1.1322,38515,1.9563,True,1,1
35,img_000035_label7,patch88,2,14809,0.8319,10552,1.5621,False,,
35,img_000035_label7,patch88,3,34321,0.8265,29892,1.3929,False,5,
35,img_000035_label7,patch88,4,14810,0.72,27933,1.3892,False,,
35,img_000035_label7,patch88,5,25790,0.6203,34321,1.3759,False,,3
36,img_000036_label5,global,1,2099,21.9198,38459,21.1744,False,2,2
36,img_000036_label5,global,2,38459,21.4457,2099,21.1361,False,1,1
36,img_000036_label5,global,3,4594,16.8051,4594,15.9027,True,3,3
36,img_000036_label5,global,4,41801,13.7598,41801,12.9139,True,4,4
36,img_000036_label5,global,5,33331,9.0042,33331,8.667,True,5,5
36,img_000036_label5,patch88,1,38515,1.2856,38515,1.6108,True,1,1
36,img_000036_label5,patch88,2,25790,0.9951,25790,1.1652,True,2,2
36,img_000036_label5,patch88,3,34321,0.8473,34321,0.9029,True,3,3
36,img_000036_label5,patch88,4,19595,0.8253,25702,0.814,False,,
36,img_000036_label5,patch88,5,16343,0.7561,43373,0.6271,False,,
37,img_000037_label3,global,1,38459,18.9158,2099,19.9223,False,2,2
37,img_000037_label3,global,2,2099,18.7116,38459,19.8786,False,1,1
37,img_000037_label3,global,3,4594,13.4235,4594,14.511,True,3,3
37,img_000037_label3,global,4,41801,10.5125,41801,12.0288,True,4,4
37,img_000037_label3,global,5,33331,7.8898,33331,8.1114,True,5,5
37,img_000037_label3,patch88,1,8403,3.9446,38515,1.5505,False,,
37,img_000037_label3,patch88,2,39589,3.5574,25790,1.2265,False,,5
37,img_000037_label3,patch88,3,16094,1.6691,34321,0.9482,False,,
37,img_000037_label3,patch88,4,15485,1.502,25702,0.9051,False,,
