image_idx,image_name,level,rank,base_neuron,base_act,lora_neuron,lora_act,match,base_neuron_in_lora_rank,lora_neuron_in_base_rank
24,image_0025.jpg,global,5,33331,7.9698,33331,7.968,True,5,5
24,image_0025.jpg,patch88,1,25790,1.9095,25790,1.986,True,1,1
24,image_0025.jpg,patch88,2,38515,1.557,21838,1.7404,False,3,3
24,image_0025.jpg,patch88,3,21838,1.4112,38515,1.5131,False,2,2
24,image_0025.jpg,patch88,4,34321,1.3583,34321,1.4036,True,4,4
24,image_0025.jpg,patch88,5,5037,0.9981,41189,1.0619,False,,
25,image_0026.jpg,global,1,2099,21.4827,2099,21.6383,True,1,1
25,image_0026.jpg,global,2,38459,21.47,38459,21.5071,True,2,2
25,image_0026.jpg,global,3,4594,15.0473,4594,15.409,True,3,3
25,image_0026.jpg,global,4,41801,13.6504,41801,13.8428,True,4,4
25,image_0026.jpg,global,5,33331,8.9893,33331,9.0079,True,5,5
25,image_0026.jpg,patch88,1,38515,1.0946,38515,0.9973,True,1,1
25,image_0026.jpg,patch88,2,25790,0.9782,25790,0.908,True,2,2
25,image_0026.jpg,patch88,3,29095,0.7401,29095,0.6661,True,3,3
25,image_0026.jpg,patch88,4,34321,0.7108,34321,0.6489,True,4,4
25,image_0026.jpg,patch88,5,29767,0.5269,8292,0.6124,False,,
26,image_0027.jpg,global,1,2099,22.4982,2099,22.0427,True,1,1
26,image_0027.jpg,global,2,38459,21.9864,38459,21.6404,True,2,2
26,image_0027.jpg,global,3,4594,16.9653,4594,16.5135,True,3,3
26,image_0027.jpg,global,4,41801,14.0439,41801,13.5642,True,4,4
26,image_0027.jpg,global,5,33331,9.1357,33331,8.9983,True,5,5
26,image_0027.jpg,patch88,1,38515,1.2174,34205,1.2186,False,2,2
26,image_0027.jpg,patch88,2,34205,1.1564,38515,1.2141,False,1,1
26,image_0027.jpg,patch88,3,4670,1.0373,4670,1.0403,True,3,3
26,image_0027.jpg,patch88,4,25790,1.0198,25790,1.0389,True,4,4
26,image_0027.jpg,patch88,5,470,0.8754,470,0.8828,True,5,5
27,image_0028.jpg,global,1,38459,22.3554,38459,22.5041,True,1,1
27,image_0028.jpg,global,2,2099,22.0691,2099,22.3405,True,2,2
27,image_0028.jpg,global,3,4594,15.8124,4594,16.1328,True,3,3
27,image_0028.jpg,global,4,41801,13.4055,41801,13.7863,True,4,4
27,image_0028.jpg,global,5,33331,9.6155,33331,9.703,True,5,5
27,image_0028.jpg,patch88,1,12273,2.3612,12273,2.3219,True,1,1
27,image_0028.jpg,patch88,2,22505,1.4139,22505,1.3035,True,2,2
27,image_0028.jpg,patch88,3,38515,1.2781,38515,1.2407,True,3,3
27,image_0028.jpg,patch88,4,36126,1.1563,34321,0.9608,False,5,5
27,image_0028.jpg,patch88,5,34321,0.9338,36126,0.8825,False,4,4
28,image_0029.jpg,global,1,2099,22.5723,2099,22.65,True,1,1
28,image_0029.jpg,global,2,38459,21.6844,38459,21.6896,True,2,2
28,image_0029.jpg,global,3,4594,17.6775,4594,17.7826,True,3,3
28,image_0029.jpg,global,4,41801,15.1866,41801,15.3615,True,4,4
28,image_0029.jpg,global,5,33331,8.0728,33331,8.0805,True,5,5
28,image_0029.jpg,patch88,1,38515,1.1153,45159,1.1902,False,2,2
28,image_0029.jpg,patch88,2,45159,1.1057,38515,1.0927,False,1,1
28,image_0029.jpg,patch88,3,25790,0.7972,25790,0.7652,True,3,3
28,image_0029.jpg,patch88,4,34321,0.6467,34321,0.6782,True,4,4
28,image_0029.jpg,patch88,5,34605,0.6298,45010,0.6676,False,,
29,image_0030.jpg,global,1,2099,20.0428,2099,20.2339,True,1,1
29,image_0030.jpg,global,2,38459,19.9187,38459,20.0254,True,2,2
29,image_0030.jpg,global,3,4594,14.9621,4594,15.1903,True,3,3
29,image_0030.jpg,global,4,41801,12.5163,41801,12.77,True,4,4
29,image_0030.jpg,global,5,30499,7.9627,30499,8.0168,True,5,5
29,image_0030.jpg,patch88,1,38515,1.4181,38515,1.3848,True,1,1
29,image_0030.jpg,patch88,2,45864,1.2714,45864,1.2968,True,2,2
29,image_0030.jpg,patch88,3,25790,1.1849,35582,1.2636,False,4,4
29,image_0030.jpg,patch88,4,35582,1.0177,25790,1.1976,False,3,3
29,image_0030.jpg,patch88,5,40998,1.0173,40998,1.1834,True,5,5
30,image_0031.jpg,global,1,38459,17.6182,38459,17.6926,True,1,1
30,image_0031.jpg,global,2,2099,17.4401,2099,17.5634,True,2,2
30,image_0031.jpg,global,3,4594,13.5872,4594,13.7182,True,3,3
30,image_0031.jpg,global,4,41801,9.0846,41801,9.2575,True,4,4
30,image_0031.jpg,global,5,133,7.8861,133,7.8606,True,5,5
30,image_0031.jpg,patch88,1,38515,1.2363,38515,1.1454,True,1,1
30,image_0031.jpg,patch88,2,579,0.8664,579,0.8436,True,2,2
30,image_0031.jpg,patch88,3,34321,0.8581,34321,0.8081,True,3,3
30,image_0031.jpg,patch88,4,25790,0.773,25790,0.7339,True,4,4
30,image_0031.jpg,patch88,5,33093,0.6713,33093,0.6475,True,5,5
31,image_0032.jpg,global,1,2099,19.5858,2099,19.4627,True,1,1
31,image_0032.jpg,global,2,38459,19.2604,38459,19.1836,True,2,2
31,image_0032.jpg,global,3,4594,15.5138,4594,15.4188,True,3,3
31,image_0032.jpg,global,4,41801,11.5227,41801,11.4053,True,4,4
31,image_0032.jpg,global,5,133,7.5778,39589,7.69,False,,
31,image_0032.jpg,patch88,1,22505,2.0317,22505,1.9091,True,1,1
31,image_0032.jpg,patch88,2,25373,1.8523,25373,1.7922,True,2,2
31,image_0032.jpg,patch88,3,38515,1.4247,38515,1.4291,True,3,3
31,image_0032.jpg,patch88,4,45521,1.115,14809,1.1062,False,5,5
31,image_0032.jpg,patch88,5,14809,1.0759,45521,1.0589,False,4,4
32,image_0033.jpg,global,1,2099,18.3783,2099,18.5804,True,1,1
32,image_0033.jpg,global,2,38459,18.3024,38459,18.4113,True,2,2
32,image_0033.jpg,global,3,4594,14.5314,4594,14.7949,True,3,3
32,image_0033.jpg,global,4,41801,10.5776,41801,10.8236,True,4,4
32,image_0033.jpg,global,5,39589,7.7736,39589,7.7533,True,5,5
32,image_0033.jpg,patch88,1,38515,1.3887,38515,1.3536,True,1,1
32,image_0033.jpg,patch88,2,34321,1.3306,34321,1.2498,True,2,2
32,image_0033.jpg,patch88,3,5012,1.1246,5012,1.1424,True,3,3
32,image_0033.jpg,patch88,4,21456,1.088,21456,1.0968,True,4,4
32,image_0033.jpg,patch88,5,20496,0.7765,20496,0.7433,True,5,5
